# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "1" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "unzipped.gtf" "-o" "SRR453566_featurecounts.txt" "SRR453566_final_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_final_sorted.bam
YOR304W	XV	884514	887876	+	3363	1202
YOL163W	XV	9597	10106	+	510	131
YOR077W	XV	471899	472597	+	699	149
YOR074C	XV	466675	467589	-	915	353
YOR117W	XV	545029	546333	+	1305	2782
YOR055W	XV	429478	429912	+	435	19
YOL166W-A	XV	585	740	+	156	0
YOL066C	XV	202696	204471	-	1776	510
YOR396W	XV	1085473	1090863	+	5391	1
YOR161C-C	XV	639121	639267	-	147	12
tV(AAC)O	XV	663812	663885	-	74	28
YOR151C	XV	612997	616671	-	3675	3989
YOR187W	XV	684030	685343	+	1314	6156
YOL001W	XV	325249	326130	+	882	279
YOR005C	XV	334509	337343	-	2835	357
YOR199W	XV	720181	720510	+	330	222
YOR355W	XV	1005137	1006705	+	1569	1826
YOR290C	XV	855147	860258	-	5112	1850
YOR396C-A	XV	1090015	1090497	-	483	0
YOR047C	XV	416347	417681	-	1335	485
YOL014W	XV	299693	300067	+	375	450
YOR244W	XV	792531	793868	+	1338	506
YOL102C	XV	125997	126689	-	693	341
YOL060C	XV	214017	216137	-	2121	1074
YOL041C	XV	251267	252646	-	1380	1721
YOL116W	XV	99809	100957	+	1149	427
YOR353C	XV	998453	1000828	-	2376	598
YOR299W	XV	878435	880675	+	2241	973
YOR366W	XV	1025256	1025609	+	354	0
tD(GUC)O	XV	571958	572029	+	72	14
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	16574
YOR148C	XV	608640	609197	-	558	337
YOR301W	XV	880965	882272	+	1308	407
YOR257W	XV	811008	811493	+	486	318
YOR135C	XV	580159	580500	-	342	3
YOR032W-A	XV	392176	392376	+	201	0
YOR223W	XV	759782	760660	+	879	359
YOR076C	XV	469377	471620	-	2244	408
YOR231C-A	XV	773163	773363	-	201	0
YOR316C-A	XV	907726	907935	-	210	6
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	2
YOR061W	XV	441534	442553	+	1020	1310
YOR025W	XV	378219	379562	+	1344	528
YOR371C	XV	1031489	1034182	-	2694	450
YOL140W	XV	58759	60030	+	1272	1614
YOL062C	XV	210520	211995	-	1476	1216
YOR292C	XV	865653	866582	-	930	270
tG(UCC)O	XV	110962	111033	-	72	0
YOR027W	XV	381053	382822	+	1770	4592
tT(AGU)O2	XV	354041	354113	-	73	4
YOR142W-B	XV	595112	600380	+	5269	20
YOR192C-A	XV	708416	709732	-	1317	0
YOL103W-B	XV	118000	123268	+	5269	23
YOR142W-A	XV	595112	596434	+	1323	0
YOR192C-B	XV	704419	709732	-	5314	116
YOR343W-B	XV	970578	975891	+	5314	249
YOR343W-A	XV	970578	971894	+	1317	0
YOL103W-A	XV	118000	119322	+	1323	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	479
YGL156W	VII	210416	213667	+	3252	323
YGL015C	VII	465043	465435	-	393	18
RME2	VII	141898	144120	-	2223	0
YGR251W	VII	995639	996229	+	591	286
YGR162W	VII	824059	826917	+	2859	5543
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	0
YGR005C	VII	504657	505859	-	1203	1029
YGL160W	VII	200561	202273	+	1713	819
snR46	VII	545370	545566	+	197	50
tD(GUC)G1	VII	531610	531681	+	72	0
YGL211W	VII	92512	93591	+	1080	556
YGR141W	VII	770569	771972	+	1404	640
YGL239C	VII	49431	49745	-	315	6
YGL097W	VII	321782	323230	+	1449	1772
YGR030C	VII	545681	546157	-	477	153
YGR224W	VII	942806	944647	+	1842	188
YGR142W	VII	772454	773686	+	1233	1022
YGR186W	VII	867774	869981	+	2208	1809
YGR181W	VII	858287	858604	+	318	243
YGL081W	VII	357377	358339	+	963	23
YGR082W	VII	644044	644595	+	552	1035
YGL028C	VII	441281	442909	-	1629	1507
YGL021W	VII	454785	457067	+	2283	1120
YGL110C	VII	301537	303411	-	1875	623
YGR167W	VII	832456	833157	+	702	1529
YGL017W	VII	459854	461365	+	1512	288
tA(UGC)G	VII	794417	794489	+	73	2
YGR156W	VII	800546	801823	+	1278	404
YGR291C	VII	1076283	1076504	-	222	0
YGR197C	VII	892497	894140	-	1644	247
YGR041W	VII	577487	579130	+	1644	549
YGL079W	VII	359444	360100	+	657	200
YGL107C	VII	304333	306273	-	1941	1051
YGL168W	VII	187464	187796	+	333	53
YGL228W	VII	67598	69331	+	1734	1783
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	1904
YGL050W	VII	405776	406597	+	822	479
YGR273C	VII	1038715	1039239	-	525	2
YGR086C	VII	649598	650617	-	1020	6601
YGR228W	VII	949365	949709	+	345	1
YGL145W	VII	230243	232348	+	2106	741
YGR098C	VII	682566	687458	-	4893	885
YGR074W	VII	635712	636152	+	441	33
YGL098W	VII	317342	318079	+	738	327
snR7-S	VII	939494	939672	-	179	0
YGL096W	VII	325331	326161	+	831	135
YGR240C-A	VII	974577	974777	-	201	83
YGR172C	VII	842845	843591	-	747	679
YGR194C	VII	886073	887875	-	1803	409
YGL026C	VII	446412	448535	-	2124	4287
YGL213C	VII	90054	91247	-	1194	401
YGL248W	VII	35653	36762	+	1110	533
YGL075C	VII	366925	368088	-	1164	141
YGL256W	VII	15159	16307	+	1149	720
YGL012W	VII	472855	474276	+	1422	4998
YGL082W	VII	355827	356972	+	1146	754
YGR161C	VII	808629	809420	-	792	540
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	0
YGR274C	VII	1039895	1043095	-	3201	831
YGR031C-A	VII	546809	547300	-	492	0
YGL037C	VII	427297	427947	-	651	921
YGL252C	VII	25718	27484	-	1767	1294
YGL250W	VII	31910	32635	+	726	206
YGR260W	VII	1012485	1014089	+	1605	2028
YGR159C	VII	806412	807656	-	1245	1955
YGR006W	VII	506070	506825	+	756	154
YGL121C	VII	280777	281157	-	381	42
YGL040C	VII	419527	420555	-	1029	1681
YGR130C	VII	751394	753844	-	2451	1474
YGR021W	VII	527632	528504	+	873	524
YGR097W	VII	678695	682135	+	3441	809
YGL170C	VII	184153	185394	-	1242	38
YGL166W	VII	191129	191806	+	678	73
YGL104C	VII	308713	310173	-	1461	214
YGR149W	VII	789031	790329	+	1299	568
YGR195W	VII	888882	889622	+	741	430
tG(GCC)G2	VII	930953	931023	-	71	4
YGR250C	VII	991176	993521	-	2346	1021
YGL155W	VII	214081	215211	+	1131	560
YGL216W	VII	84885	87302	+	2418	329
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	695
YGL125W	VII	272520	274322	+	1803	3251
YGR038W	VII	560682	561350	+	669	531
YGR008C	VII	508110	508364	-	255	414
YGR248W	VII	985972	986739	+	768	42
YGL094C	VII	331118	334465	-	3348	1078
YGR131W	VII	754726	755250	+	525	46
YGR163W	VII	827552	828577	+	1026	544
YGR125W	VII	742325	745435	+	3111	1681
YGR279C	VII	1048798	1049958	-	1161	5157
YGL022W	VII	452404	454560	+	2157	4372
tD(GUC)G2	VII	544577	544648	-	72	2
YGR271W	VII	1031791	1037694	+	5904	1028
YGL025C	VII	448764	449957	-	1194	268
YGL176C	VII	171415	173079	-	1665	285
YGR031W	VII	546441	547469	+	1029	263
YGL102C	VII	311505	311933	-	429	76
YGR182C	VII	858551	858904	-	354	564
YGR025W	VII	532639	532941	+	303	154
YGL113W	VII	295932	297938	+	2007	379
YGR188C	VII	872044	875109	-	3066	375
YGL162W	VII	198138	199037	+	900	90
YGL084C	VII	350616	352298	-	1683	1299
snR10	VII	345986	346230	+	245	9
YGL196W	VII	129883	131169	+	1287	592
RME3	VII	33109	35013	-	1905	0
YGR230W	VII	951894	952307	+	414	74
YGR084C	VII	647123	648142	-	1020	940
YGL222C	VII	80659	81186	-	528	127
YGR166W	VII	830515	832197	+	1683	310
YGR122C-A	VII	735630	735758	-	129	23
YGR152C	VII	794674	795492	-	819	350
YGL210W	VII	93792	94460	+	669	436
YGR265W	VII	1021648	1022058	+	411	18
YGR157W	VII	802440	805049	+	2610	3977
YGL240W	VII	48613	49365	+	753	92
YGR085C	VII	648383	648907	-	525	7953
YGR237C	VII	963298	965655	-	2358	576
YGL146C	VII	228751	229686	-	936	85
YGL153W	VII	216273	217298	+	1026	143
YGR075C	VII	636147	636875	-	729	177
tT(UGU)G2	VII	1004216	1004287	+	72	0
YGL169W	VII	186059	187339	+	1281	637
YGR187C	VII	870232	871416	-	1185	1183
YGL167C	VII	187616	190468	-	2853	1780
YGR050C	VII	592086	592442	-	357	93
YGR035W-A	VII	557565	557786	+	222	65
YGR217W	VII	924696	930815	+	6120	823
YGR068C	VII	625324	627084	-	1761	268
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	1
YGR177C	VII	848829	850436	-	1608	319
YGL068W	VII	375087	375671	+	585	298
tN(GUU)G	VII	731137	731210	+	74	6
YGL018C	VII	459110	459664	-	555	222
YGL188C	VII	149343	149516	-	174	225
YGR126W	VII	745835	746527	+	693	68
YGL065C	VII	379760	381271	-	1512	629
YGL014W	VII	466141	468807	+	2667	1219
YGL100W	VII	313234	314283	+	1050	887
YGR288W	VII	1070293	1071714	+	1422	155
YGL174W	VII	174545	175345	+	801	139
YGR211W	VII	915241	916701	+	1461	1826
YGL204C	VII	111700	112005	-	306	245
YGR270W	VII	1027370	1031509	+	4140	1689
YGR204W	VII	905934	908774	+	2841	10009
YGR266W	VII	1022656	1024761	+	2106	798
YGL070C	VII	374459	374827	-	369	646
YGL225W	VII	76894	77907	+	1014	3534
YGL120C	VII	281634	283937	-	2304	1837
tE(UUC)G1	VII	328583	328654	+	72	9
YGR252W	VII	996869	998188	+	1320	678
YGL106W	VII	306560	307009	+	450	1365
YGR284C	VII	1060658	1061590	-	933	1946
YGR032W	VII	548264	553951	+	5688	1785
YGR174C	VII	845893	846405	-	513	325
YGR208W	VII	911883	912812	+	930	1645
YGL016W	VII	461666	464911	+	3246	877
YGR255C	VII	1002523	1003962	-	1440	732
YGR146C-A	VII	785276	785437	-	162	26
YGL194C	VII	140368	141726	-	1359	215
YGL138C	VII	248494	249531	-	1038	4
YGR091W	VII	666341	667825	+	1485	311
YGR200C	VII	899904	902270	-	2367	1699
YGR191W	VII	880420	882231	+	1812	1422
YGR270C-A	VII	1027382	1027600	-	219	0
YGL227W	VII	69671	72547	+	2877	491
YGR081C	VII	643148	643780	-	633	345
YGL243W	VII	43307	44509	+	1203	306
YGL194C-A	VII	139719	139961	-	243	156
YGR148C	VII	787312	787779	-	468	10342
YGL136C	VII	252897	253859	-	963	294
YGR276C	VII	1043819	1045480	-	1662	867
YGL129C	VII	267723	269075	-	1353	918
tR(UCU)G2	VII	828723	828794	-	72	0
YGR053C	VII	594986	595837	-	852	78
YGR069W	VII	627083	627418	+	336	9
YGL224C	VII	78015	78857	-	843	572
YGL193C	VII	141916	142227	-	312	0
YGL020C	VII	457163	457870	-	708	1064
YGL177W	VII	167559	167906	+	348	25
YGL189C	VII	148229	148588	-	360	7637
YGR122W	VII	733935	735143	+	1209	322
YGL003C	VII	492474	494174	-	1701	381
YGR210C	VII	913503	914738	-	1236	1452
tG(GCC)G1	VII	845649	845719	+	71	7
YGR079W	VII	640720	641832	+	1113	316
YGL115W	VII	292033	293001	+	969	928
YGL105W	VII	307437	308567	+	1131	3633
YGR026W	VII	532985	533821	+	837	1581
YGR087C	VII	651290	652981	-	1692	122
YGR278W	VII	1046731	1048464	+	1734	278
YGR042W	VII	579476	580291	+	816	362
YGR043C	VII	580435	581436	-	1002	375
YGL165C	VII	191398	191976	-	579	3
YGR110W	VII	713709	715046	+	1338	190
YGR089W	VII	656960	659770	+	2811	1105
YGL158W	VII	207033	208571	+	1539	32
YGR262C	VII	1016974	1017759	-	786	582
YGL200C	VII	122694	123305	-	612	3694
YGL117W	VII	288512	289309	+	798	725
YGL186C	VII	151037	152776	-	1740	2075
YGR010W	VII	511545	512732	+	1188	343
YGR198W	VII	894693	897146	+	2454	619
YGR137W	VII	762888	763262	+	375	89
YGL058W	VII	393986	394504	+	519	510
YGL226W	VII	73340	73711	+	372	200
YGL055W	VII	398628	400160	+	1533	11148
YGL184C	VII	154615	156012	-	1398	1006
YGL024W	VII	449788	450123	+	336	6
tV(AAC)G3	VII	73829	73902	-	74	3
YGL151W	VII	217524	220922	+	3399	980
YGR101W	VII	693363	694403	+	1041	477
YGL230C	VII	63772	64215	-	444	28
YGR103W	VII	695417	697234	+	1818	3826
YGR096W	VII	676621	677565	+	945	117
YGR112W	VII	717358	718527	+	1170	393
tI(AAU)G	VII	739122	739195	+	74	6
YGL013C	VII	469092	472298	-	3207	1286
YGL076C	VII;VII;VII	364335;365433;365986	364964;365526;365996	-;-;-	735	15109
YGR067C	VII	622372	624786	-	2415	66
YGR094W	VII	672186	675500	+	3315	8009
YGL226C-A	VII;VII	72749;73138	72988;73158	-;-	261	533
YGR045C	VII	583934	584296	-	363	8
YGR175C	VII	846933	848423	-	1491	4500
YGL008C	VII	479910	482666	-	2757	79284
YGR115C	VII	720372	721151	-	780	0
YGR108W	VII	703636	705051	+	1416	759
YGR218W	VII	932541	935795	+	3255	2129
YGR205W	VII	909213	910085	+	873	186
YGL073W	VII	368753	371254	+	2502	780
YGL009C	VII	476313	478652	-	2340	13726
YGL095C	VII	328874	330607	-	1734	599
YGL137W	VII;VII	249869;250087	249886;252738	+;+	2670	3595
YGL214W	VII	90010	90495	+	486	4
YGR105W	VII	698599	698832	+	234	538
YGR001C	VII;VII;VII	497133;497459;498000	497365;497937;498034	-;-;-	747	866
tK(UUU)G1	VII;VII	115488;115548	115524;115583	+;+	73	2
YGL217C	VII	84839	85180	-	342	11
YGL173C	VII	175527	180113	-	4587	3678
YGL086W	VII	347119	349368	+	2250	891
YGR223C	VII	940869	942215	-	1347	372
tS(AGA)G	VII	561662	561743	-	82	2
YGR077C	VII	637744	639513	-	1770	301
YGL052W	VII	403437	403742	+	306	36
YGR285C	VII	1061852	1063153	-	1302	4391
YGL080W	VII	358636	359028	+	393	374
YGL207W	VII	98969	102076	+	3108	3089
YGR261C	VII	1014321	1016750	-	2430	1359
YGR226C	VII	946792	947001	-	210	0
YGL140C	VII	241353	245012	-	3660	1623
YGL078C	VII	360288	361859	-	1572	2225
YGL199C	VII	123572	124042	-	471	0
YGR164W	VII	828625	828960	+	336	7
YGR150C	VII	790459	793053	-	2595	1252
YGL006W-A	VII	485423	485533	+	111	41
YGR196C	VII	889733	892186	-	2454	683
YGL197W	VII	124698	129161	+	4464	1137
YGR136W	VII	762428	763153	+	726	371
YGR153W	VII	796092	796745	+	654	162
YGL159W	VII	202721	203833	+	1113	419
YGR286C	VII	1063813	1064940	-	1128	1790
YGL254W	VII	22304	23203	+	900	375
tH(GUG)G1	VII	110625	110696	-	72	24
YGR023W	VII	529264	530919	+	1656	202
snR48	VII	609584	609696	+	113	22
YGL063W	VII	383654	384766	+	1113	129
YGL154C	VII	215278	216096	-	819	264
YGL035C	VII	431548	433062	-	1515	965
YGR009C	VII	509047	511002	-	1956	882
YGR034W	VII;VII	555812;556308	555830;556672	+;+	384	11372
YGL064C	VII	381523	383208	-	1686	354
YGR118W	VII;VII	726974;727358	727038;727730	+;+	438	14072
YGR277C	VII	1045644	1046561	-	918	586
YGR232W	VII	953960	954646	+	687	442
YGR227W	VII	947420	948997	+	1578	729
YGL142C	VII	236269	238119	-	1851	591
YGL143C	VII	234717	235958	-	1242	748
YGR222W	VII	939923	940804	+	882	508
YGL045W	VII	414102	415730	+	1629	185
YGL253W	VII	23935	25395	+	1461	8392
YGR257C	VII	1006205	1007305	-	1101	665
YGL131C	VII	261648	265859	-	4212	372
YGR064W	VII	617621	617989	+	369	5
YGR263C	VII	1017967	1019241	-	1275	292
YGL049C	VII	406860	409604	-	2745	1069
YGR296C-B	VII	1089746	1090228	-	483	0
YGL202W	VII	116059	117561	+	1503	4943
YGL258W-A	VII	9162	9395	+	234	19
YGR133W	VII	756896	757447	+	552	198
YGR109C	VII	705359	706501	-	1143	132
YGR037C	VII	559731	559994	-	264	1991
YGL077C	VII	362225	363916	-	1692	5368
YGR111W	VII	715828	717030	+	1203	505
YGR016W	VII	522261	522833	+	573	76
YGR245C	VII	979765	982068	-	2304	1731
YGR287C	VII	1067222	1068991	-	1770	316
YGL244W	VII	41498	43174	+	1677	1612
YGL057C	VII	394966	395829	-	864	219
YGL187C	VII	149704	150171	-	468	1986
YGR180C	VII	855264	856301	-	1038	2481
YGR116W	VII	720409	724764	+	4356	2252
YGL181W	VII	157906	159096	+	1191	694
YGR202C	VII	903474	904748	-	1275	964
YGL127C	VII	270392	270775	-	384	242
YGR203W	VII	905237	905683	+	447	299
YGL150C	VII	221104	225573	-	4470	1951
YGR134W	VII	757770	761138	+	3369	560
YGR095C	VII	675671	676342	-	672	412
YGR214W	VII;VII	920575;921120	920664;921788	+;+	759	10539
YGR269W	VII	1026636	1026962	+	327	22
YGR176W	VII	848720	849067	+	348	6
YGL263W	VII	2790	3932	+	1143	214
YGR057C	VII	604773	605501	-	729	355
YGL074C	VII	368596	368922	-	327	2
YGR007W	VII	506969	507940	+	972	650
YGR241C	VII	974875	976581	-	1707	503
YGR127W	VII	746798	747736	+	939	198
YGL219C	VII	82878	84257	-	1380	451
YGL061C	VII	388968	389711	-	744	389
YGR083C	VII	644860	646815	-	1956	1569
YGL038C	VII	425362	426804	-	1443	543
YGL047W	VII	411552	412160	+	609	285
YGR244C	VII	978036	979319	-	1284	1687
YGR289C	VII	1073963	1075813	-	1851	209
YGL089C	VII	344791	345153	-	363	32
YGL180W	VII	160065	162758	+	2694	258
YGR146C	VII	784223	784858	-	636	222
YGL149W	VII	225572	225877	+	306	82
YGL242C	VII	44652	45197	-	546	652
YGR106C	VII	698989	699786	-	798	3768
YGR004W	VII	502938	504326	+	1389	304
YGR209C	VII	912913	913227	-	315	1059
YGR052W	VII	593596	594705	+	1110	214
YGR158C	VII	805269	806021	-	753	542
YGR003W	VII	500132	502366	+	2235	453
YGR219W	VII	936035	936376	+	342	2
YGL247W	VII	36933	37526	+	594	241
YGR170W	VII	837142	840558	+	3417	1009
YGR246C	VII	982482	984272	-	1791	562
YGL183C	VII;VII	156543;157283	157199;157285	-;-	660	37
YGR160W	VII	807073	807684	+	612	11
YGR204C-A	VII	909061	909174	-	114	16
YGR039W	VII	574888	575199	+	312	47
YGL059W	VII	392223	393698	+	1476	398
YGL123W	VII	277617	278381	+	765	14494
YGL099W	VII	314631	316553	+	1923	990
YGR102C	VII	694584	695135	-	552	253
YGL233W	VII	59122	61854	+	2733	842
YGL072C	VII	371003	371362	-	360	0
YGL056C	VII	396035	397618	-	1584	1134
YGR104C	VII	697445	698368	-	924	331
YGR240C	VII	970771	973734	-	2964	8879
YGR243W	VII	977336	977776	+	441	170
YGR275W	VII	1043276	1043749	+	474	462
YGL088W	VII	345836	346201	+	366	0
YGR020C	VII	526973	527329	-	357	1613
YGR100W	VII	690245	693097	+	2853	847
YGR231C	VII	952548	953480	-	933	2564
YGR215W	VII	922175	922507	+	333	548
YGR018C	VII	524365	524694	-	330	11
YGL152C	VII	216692	217369	-	678	0
YGL212W	VII	91432	92382	+	951	209
YGL066W	VII	377609	379582	+	1974	556
YGL060W	VII	390065	391990	+	1926	447
YGL185C	VII	153167	154306	-	1140	233
YGR145W	VII	781767	783890	+	2124	1316
YGL011C	VII	474489	475247	-	759	1782
YGR147C	VII	786054	786920	-	867	1182
YGR036C	VII	558149	558868	-	720	305
YGL122C	VII	278946	280523	-	1578	1205
YGL261C	VII	6290	6652	-	363	1
YGL041C	VII	419022	419225	-	204	0
YGR099W	VII	687899	689965	+	2067	654
YGR046W	VII	584895	586052	+	1158	590
YGL188C-A	VII	148824	148964	-	141	104
YGR216C	VII	922633	924462	-	1830	570
tG(UCC)G	VII	779616	779687	+	72	0
YGR047C	VII	586392	589469	-	3078	752
YGR238C	VII	966039	968687	-	2649	589
YGR282C	VII	1057783	1058724	-	942	11407
YGL132W	VII	261580	261915	+	336	7
tA(AGC)G	VII	774349	774421	+	73	0
YGR169C	VII	834689	835903	-	1215	374
YGR063C	VII	617516	617824	-	309	103
YGR256W	VII	1004624	1006102	+	1479	89
YGL036W	VII	428601	431330	+	2730	668
YGR192C	VII	882812	883810	-	999	119522
YGL191W	VII	144808	145197	+	390	1582
YGR051C	VII	592906	593229	-	324	66
YGR013W	VII	514554	516416	+	1863	577
YGR123C	VII	736662	738203	-	1542	918
YGL209W	VII	95858	97006	+	1149	273
YGL163C	VII	193707	196403	-	2697	620
YGR296C-A	VII	1088870	1089445	-	576	0
YGL178W	VII;VII	167352;167995	167354;170571	+;+	2580	549
YGL092W	VII	337906	341859	+	3954	1841
YGR132C	VII	755589	756452	-	864	2782
YGL208W	VII	97338	98585	+	1248	179
tL(GAG)G	VII	700675	700756	+	82	0
YGR059W	VII	607563	609101	+	1539	31
YGR114C	VII	720265	720654	-	390	0
YGR128C	VII	747950	750091	-	2142	1565
YGL246C	VII	37617	38780	-	1164	686
YGL190C	VII	145809	147389	-	1581	913
YGR033C	VII	554248	554967	-	720	895
YGL112C	VII	298178	299728	-	1551	908
YGL001C	VII	495453	496502	-	1050	1676
YGR168C	VII	833352	834482	-	1131	333
YGL093W	VII	334886	337639	+	2754	780
YGR120C	VII	730033	730821	-	789	238
YGR027C	VII	534132	534458	-	327	12660
YGL259W	VII	8470	8967	+	498	27
YGR294W	VII	1080306	1080668	+	363	2
YGR124W	VII	739944	741662	+	1719	6096
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	512
YGL062W	VII	385196	388732	+	3537	8137
YGR049W	VII	591314	591877	+	564	995
snR39	VII	365163	365251	-	89	76
YGR076C	VII	637104	637577	-	474	501
YGL161C	VII	199210	200142	-	933	1363
YGR062C	VII	616328	617278	-	951	252
tV(AAC)G1	VII	412294	412367	-	74	2
YGL237C	VII	52731	53528	-	798	189
YGR024C	VII	531883	532596	-	714	716
YGR184C	VII	859901	865753	-	5853	1931
YGR292W	VII	1076599	1078353	+	1755	104
YGR151C	VII	794655	794990	-	336	0
YGL034C	VII	433214	433579	-	366	7
YGL067W	VII	376101	377255	+	1155	533
YGR072W	VII	634304	635467	+	1164	594
YGL229C	VII	64503	66959	-	2457	228
YGR055W	VII	599417	601141	+	1725	2952
YGL044C	VII	416146	417036	-	891	503
YGL054C	VII	400871	401287	-	417	1821
YGL119W	VII	284442	285947	+	1506	479
YGR068W-A	VII	626294	626389	+	96	0
YGR206W	VII	910432	910737	+	306	156
YGR121W-A	VII	733412	733627	+	216	7
YGL130W	VII	266145	267524	+	1380	662
YGL042C	VII	418288	418593	-	306	121
YGR090W	VII	662358	666071	+	3714	1964
YGR221C	VII	937124	938992	-	1869	261
YGR143W	VII	775193	777508	+	2316	643
tR(UCU)G1	VII	405470	405541	+	72	2
YGL218W	VII	83650	84300	+	651	0
YGL198W	VII	123591	124298	+	708	158
YGL083W	VII	353058	355472	+	2415	596
tC(GCA)G	VII	707108	707179	-	72	0
YGR071C	VII	631481	634063	-	2583	453
YGR259C	VII	1012481	1012921	-	441	0
YGR058W	VII	606136	607143	+	1008	335
YGL195W	VII	131525	139543	+	8019	3944
YGL192W	VII	142246	144048	+	1803	0
YGL206C	VII	102543	107504	-	4962	3063
YGR060W	VII	610564	611493	+	930	9827
YGL257C	VII	12481	14157	-	1677	912
YGL236C	VII	53787	55796	-	2010	613
YGR138C	VII	763762	765606	-	1845	1122
YGR015C	VII	521090	522076	-	987	153
YGL023C	VII	450197	452104	-	1908	1156
YGL144C	VII	232450	234507	-	2058	277
YGL071W	VII	372012	374084	+	2073	745
tK(CUU)G3	VII	876394	876466	+	73	2
YGR080W	VII	642010	643008	+	999	599
YGL116W	VII	289809	291641	+	1833	355
YGR035C	VII	557072	557422	-	351	206
YGL201C	VII	117854	120907	-	3054	1154
YGR212W	VII	917040	918446	+	1407	144
YGR154C	VII	796798	797868	-	1071	141
YGL241W	VII	45445	48459	+	3015	756
YGL262W	VII	5312	5839	+	528	57
YGR247W	VII	984966	985685	+	720	256
YGR199W	VII	897502	899781	+	2280	1218
YGL260W	VII	6860	7090	+	231	1
YGR179C	VII	853675	854895	-	1221	348
YGR011W	VII	512497	512823	+	327	26
YGL111W	VII	299978	301369	+	1392	889
snR39B	VII	366374	366469	-	96	10
YGR073C	VII	635615	635986	-	372	1
YGR155W	VII	798543	800066	+	1524	5631
YGL114W	VII	293460	295637	+	2178	911
YGL255W	VII	20978	22108	+	1131	183
YGR066C	VII	620921	621799	-	879	34
YGR233C	VII	954674	958210	-	3537	684
YGR092W	VII	668189	669907	+	1719	554
YGL041W-A	VII	418825	419289	+	465	42
YGR171C	VII	840824	842551	-	1728	573
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	2
YGL171W	VII	182390	184084	+	1695	813
YGL029W	VII	440063	440425	+	363	880
YGR040W	VII	575398	576504	+	1107	394
YGR220C	VII	936074	936883	-	810	513
YGR268C	VII	1026057	1026653	-	597	223
YGL147C	VII	227754	228329	-	576	14085
tK(CUU)G1	VII	122269	122341	+	73	5
YGR144W	VII	780399	781379	+	981	99
YGR178C	VII	851047	853215	-	2169	2496
YGR113W	VII	718893	719924	+	1032	549
YGL203C	VII	112475	114664	-	2190	1321
YGL048C	VII	410069	411286	-	1218	2956
YGR207C	VII	910843	911628	-	786	1648
YGR258C	VII	1007671	1010766	-	3096	514
YGL091C	VII	342056	343042	-	987	482
YGR093W	VII	670388	671911	+	1524	583
YGR119C	VII	728046	729671	-	1626	1205
YGR213C	VII	918512	919465	-	954	107
YGR061C	VII	611889	615965	-	4077	9877
YGL182C	VII	157273	157596	-	324	8
YGR139W	VII	765726	766064	+	339	35
YGR121C	VII	731449	732927	-	1479	1108
YGL043W	VII	417483	418412	+	930	726
YGR280C	VII	1050910	1051725	-	816	905
YGL085W	VII	349616	350440	+	825	365
YGL031C	VII	437467	437934	-	468	11810
YGR117C	VII	725049	726479	-	1431	851
YGR254W	VII	1000927	1002240	+	1314	8259
YGR235C	VII	961360	962061	-	702	806
YGL124C	VII	274780	276714	-	1935	370
YGR236C	VII	962530	962817	-	288	11
YGL164C	VII	191978	193300	-	1323	372
YGR293C	VII	1079885	1080346	-	462	15
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	0
YGR264C	VII	1019598	1021853	-	2256	4027
YGL234W	VII	56482	58890	+	2409	12879
YGL109W	VII	303513	303836	+	324	46
YGL238W	VII	49552	52434	+	2883	2031
YGL041C-B	VII	418704	418886	-	183	2
YGR056W	VII	601661	604447	+	2787	652
YGR201C	VII	902520	903197	-	678	141
YGR239C	VII	969187	970053	-	867	618
YGR169C-A	VII	836387	836665	-	279	863
YGR185C	VII	866336	867520	-	1185	2837
YGR189C	VII	876669	878192	-	1524	3558
YGR022C	VII	529257	529586	-	330	1
YGR290W	VII	1075482	1075925	+	444	7
YGL205W	VII	108158	110404	+	2247	73
tK(CUU)G2	VII	185714	185786	-	73	0
YGL221C	VII	81426	82292	-	867	880
YGL108C	VII	303649	304071	-	423	229
YGL069C	VII	375050	375514	-	465	0
YGL135W	VII	254641	255294	+	654	16306
YGR253C	VII	998358	999140	-	783	2656
YGL053W	VII	402589	403302	+	714	261
YGL101W	VII	312193	312840	+	648	502
YGR271C-A	VII	1037800	1038501	-	702	906
YGR267C	VII	1025004	1025735	-	732	1801
YGR234W	VII	959904	961103	+	1200	15016
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	275
YGL141W	VII	238353	241085	+	2733	727
YGL245W	VII	39023	41149	+	2127	5956
YGL007W	VII	483260	483637	+	378	27
YGL005C	VII	489708	490547	-	840	586
