Chromosome,GeneStart,GeneEnd,GeneLength,ConcTumor,ConcNormal,Fold,FDR,Annotation,Symbol,GeneName,Direction
chr11,66788160,66804194,16035,4.81425335,2.98621668,1.159967315,0.041293329,Promoter ,TOP6BL,TOP6B like initiator of meiotic double strand breaks,Open
chr17,78993784,78995249,1466,6.183647612,3.741267931,1.214927218,0.041293329,Promoter ,CANT1,calcium activated nucleotidase 1,Open
chr8,97868840,98035978,167139,4.368666439,2.720958419,1.112164083,0.041293329,Promoter ,MATN2,matrilin 2,Open
chr3,122527961,122546003,18043,4.938576726,2.996956455,1.176577185,0.041326027,3' UTR,PARP9,poly polymerase family member 9,Open
chr1,234959666,234970062,10397,4.947247655,3.196760216,1.141233813,0.041326027,Distal Intergenic,LNCATV,lncRNA negative regulator of antiviral signaling,Open
chr19,4815932,4831712,15781,4.690937862,2.918434775,1.143057756,0.041446626,Distal Intergenic,TICAM1,TIR domain containing adaptor molecule 1,Open
chr14,23126751,23155458,28708,4.741215808,2.96104181,1.14843625,0.041446626,Intron ,SLC7A8,solute carrier family 7 member 8,Open
chr6,109337396,109355041,17646,4.938704089,3.1522957,1.145166218,0.041446626,Promoter ,CCDC162P,coiled-coil domain containing 162 pseudogene,Open
chr1,230255358,230282120,26763,5.453170405,3.464089492,1.180915871,0.041446626,Intron ,GALNT2,polypeptide N-acetylgalactosaminyltransferase 2,Open
chr15,52581853,52652050,70198,4.43753803,2.688022912,1.1339726,0.041446626,Promoter ,ATOSA,atos homolog A,Open
chr6,42126377,42142619,16243,5.026704861,3.214678756,1.149893907,0.041446626,Intron ,C6orf132,chromosome 6 open reading frame 132,Open
chr1,147698699,147738753,40055,4.779696821,2.923745292,1.157382125,0.041446626,Intron ,LOC105371230,uncharacterized LOC105371230,Open
chr14,64704102,64730688,26587,4.602418566,2.841555518,1.136016821,0.041446626,Distal Intergenic,PLEKHG3,pleckstrin homology and RhoGEF domain containing G3,Open
chr1,200366701,200372275,5575,5.168974016,3.198410982,1.175327053,0.041446626,Promoter ,LINC00862,long intergenic non-protein coding RNA 862,Open
chr18,79400392,79527577,127186,4.849549323,3.291785606,1.093017181,0.041446626,Intron ,NFATC1,nuclear factor of activated T cells 1,Open
chr8,80241389,80241473,85,4.909291815,2.994357144,1.165907407,0.041446626,Intron ,MIR5708,microRNA 5708,Open
chr3,52586430,52678567,92138,4.709385789,2.973453024,1.134206409,0.041446626,Intron ,PBRM1,polybromo 1,Open
chr21,36460621,36576569,115949,4.713018582,2.936815232,1.139922502,0.041446626,Intron ,CLDN14,claudin 14,Open
chr7,102913000,102933450,20451,4.351886063,2.670933523,1.11872076,0.041446626,Intron ,LRRC17,leucine rich repeat containing 17,Open
chr8,101632226,101664510,32285,4.81164794,2.921038259,1.160301963,0.041446626,Intron ,GRHL2,grainyhead like transcription factor 2,Open
chr1,172387188,172389222,2035,4.557547921,2.820955803,1.1323683,0.041446626,Intron ,DNM3,dynamin 3,Open
chr8,141027046,141032895,5850,4.768917847,3.076764134,1.119294685,0.041446626,Promoter ,LOC105375783,uncharacterized LOC105375783,Open
chr1,230801004,230825063,24060,5.195541435,3.196380751,1.177089797,0.041446626,Promoter ,LOC124904546,uncharacterized LOC124904546,Open
chr12,53543091,53543951,861,4.460020377,2.780956876,1.113514727,0.041446626,Exon ,ATF7,activating transcription factor 7,Open
chr1,169017591,169062070,44480,4.671539115,2.899002253,1.13517702,0.041446626,Intron ,LINC00970,long intergenic non-protein coding RNA 970,Open
chr3,151894349,151920536,26188,4.328525805,2.86157379,1.048962698,0.041446626,Intron ,LOC105374159,uncharacterized LOC105374159,Open
chr7,6391458,6402502,11045,4.718513886,2.886665865,1.149384487,0.041446626,Intron ,RAC1,Rac family small GTPase 1,Open
chr1,231818905,232009022,190118,5.030662476,3.192004631,1.15062692,0.041446626,Intron ,DISC1,DISC1 scaffold protein,Open
chr22,45793596,45843797,50202,4.181258709,2.299659938,1.154852652,0.041446626,Intron ,ATXN10,ataxin 10,Open
chr7,29479736,29514314,34579,4.461721963,2.751817737,1.12186832,0.041446626,Intron ,CHN2,chimerin 2,Open
chr7,99952033,99952158,126,4.933395128,3.264263597,1.114425212,0.041512599,Distal Intergenic,LOC124900245,small nucleolar RNA SNORA40,Open
chr1,232718030,232722252,4223,4.997324864,3.103638862,1.160000981,0.041526209,Distal Intergenic,LINC01745,long intergenic non-protein coding RNA 1745,Open
chr17,68291518,68420785,129268,5.18229688,3.172480145,1.175890965,0.041526209,Intron ,ARSG,arylsulfatase G,Open
chr6,35342558,35428178,85621,5.013734293,3.20361906,1.144515107,0.042126666,Distal Intergenic,PPARD,peroxisome proliferator activated receptor delta,Open
chr8,61714788,61714859,72,4.845810153,3.055242424,1.138340585,0.042126666,Distal Intergenic,MIR4470,microRNA 4470,Open
chr12,50764509,50814368,49860,4.606710645,2.628123541,1.166959326,0.042184347,Intron ,ATF1,activating transcription factor 1,Open
chr22,40177925,40246362,68438,4.199338593,2.555146637,1.099954137,0.042184347,Exon ,TNRC6B,trinucleotide repeat containing adaptor 6B,Open
chr16,3642938,3665472,22535,5.058105203,3.100043665,1.164450108,0.042184347,Intron ,DNASE1,deoxyribonuclease 1,Open
chr8,140572902,140605888,32987,5.385286294,3.409109879,1.16825999,0.042184347,Intron ,AGO2,argonaute RISC catalytic component 2,Open
chr1,163735513,163878959,143447,4.740852787,2.966046023,1.132451628,0.042184347,Intron ,LOC124904447,uncharacterized LOC124904447,Open
chr19,2491706,2494839,3134,4.766752805,3.046253214,1.123459126,0.042184347,Distal Intergenic,LOC124904614,uncharacterized LOC124904614,Open
chr1,204870862,205022822,151961,4.85548134,2.970494527,1.152100066,0.042184347,Intron ,NFASC,neurofascin,Open
chr17,62788507,62806640,18134,5.060637062,3.188797997,1.151687309,0.042184347,Intron ,MARCHF10,membrane associated ring-CH-type finger 10,Open
chr6,18387514,18402095,14582,4.352940658,2.912321373,1.041917228,0.042184347,Intron ,RNF144B,ring finger protein 144B,Open
chr5,78510039,78590192,80154,4.249561547,2.788576318,1.045347328,0.042184347,Intron ,LHFPL2,LHFPL tetraspan subfamily member 2,Open
chr7,99173572,99208115,34544,5.015242931,3.317249891,1.117029866,0.042184347,Promoter ,KPNA7,karyopherin subunit alpha 7,Open
chr1,210369715,210590542,220828,4.84680569,3.197498411,1.104082525,0.042184347,Intron ,HHAT,hedgehog acyltransferase,Open
chr17,39699976,39728079,28104,7.010643285,4.492854525,1.193213182,0.042184347,Promoter ,ERBB2,erb-b2 receptor tyrosine kinase 2,Open
chr1,205568885,205599251,30367,5.641888034,3.60506113,1.173183834,0.042184347,Intron ,SLC60A1,solute carrier family 60 member 1,Open
chr1,226540621,226542734,2114,4.48886406,2.980253226,1.065978941,0.042184347,Intron ,LOC105373116,uncharacterized LOC105373116,Open
chr9,98080840,98088001,7162,4.556655217,2.892478486,1.108035858,0.042184347,Intron ,TRIM14,tripartite motif containing 14,Open
chr14,37422855,37523524,100670,4.225041243,2.597544147,1.093895681,0.042184347,Intron ,MIPOL1,mirror-image polydactyly 1,Open
chr8,95115642,95156544,40903,5.280789917,3.30021355,1.164544771,0.042184347,Intron ,PLEKHF2,pleckstrin homology and FYVE domain containing 2,Open
chr1,203723897,203728310,4414,4.027897447,2.107950437,1.153287374,0.042184347,Intron ,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,Open
chr17,75563774,75575194,11421,5.10730128,2.84921457,1.186689226,0.042184347,Promoter ,LLGL2,LLGL scribble cell polarity complex component 2,Open
chr1,184887739,184890185,2447,5.023538668,3.056926927,1.161508138,0.042184347,Intron ,NIBAN1,niban apoptosis regulator 1,Open
chr15,62842889,62884034,41146,4.495879635,3.035026146,1.047881285,0.042184347,Distal Intergenic,LOC105370854,uncharacterized LOC105370854,Open
chr17,50768650,50768730,81,4.395545611,2.873523267,1.069123032,0.042184347,Promoter ,MIR8059,microRNA 8059,Open
chr3,58471530,58484772,13243,4.960060261,3.168125308,1.135448913,0.042184347,Promoter ,LOC107986092,uncharacterized LOC107986092,Open
chr17,80743287,80966371,223085,4.890521106,2.695920876,1.180696146,0.042184347,Intron ,RPTOR,regulatory associated protein of MTOR complex 1,Open
chr6,16432564,16750092,317529,4.424335371,2.981029697,1.040311898,0.042184347,Intron ,ATXN1,ataxin 1,Open
chr3,193691394,193697526,6133,5.404090764,3.514514222,1.150045459,0.042184347,Intron ,OPA1,OPA1 mitochondrial dynamin like GTPase,Open
chr6,43797144,43821710,24567,5.028690969,3.246544427,1.128871058,0.042184347,Distal Intergenic,LOC105375070,uncharacterized LOC105375070,Open
chr1,221702427,221711816,9390,4.840193071,3.103671539,1.121158638,0.042184347,Promoter ,DUSP10,dual specificity phosphatase 10,Open
chr20,56974636,56984291,9656,4.648667099,3.091886269,1.077562203,0.042184347,Distal Intergenic,LOC105372683,uncharacterized LOC105372683,Open
chr2,65589566,65640177,50612,4.817167212,2.993873362,1.135526316,0.042184347,Intron ,LINC03050,long intergenic non-protein coding RNA 3050,Open
chr17,64750420,64751311,892,4.622392165,3.195465694,1.036461546,0.042184347,Exon ,LOC101929240,U5 small nuclear ribonucleoprotein 200 kDa helicase-like,Open
chr1,232399142,232402766,3625,4.876367566,3.141078006,1.120084821,0.042184347,Distal Intergenic,SIPA1L2,signal induced proliferation associated 1 like 2,Open
chr8,141155894,141166233,10340,5.60201085,3.741478775,1.143048027,0.042184347,Promoter ,DENND3,DENN domain containing 3,Open
chr17,78708912,78736967,28056,5.294455522,3.544385187,1.124642716,0.042184347,Intron ,CYTH1,cytohesin 1,Open
chr1,204449176,204450130,955,5.198922791,3.177259894,1.164236198,0.042184347,Promoter ,PIK3C2B,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta,Open
chr11,74001478,74002254,777,3.981067354,2.424632024,1.081982529,0.042184347,Intron ,UCP3,uncoupling protein 3,Open
chr2,100739958,100747391,7434,4.235523203,2.655746941,1.077662547,0.042184347,Distal Intergenic,LOC105373508,uncharacterized LOC105373508,Open
chr10,4704795,4767903,63109,3.952696242,2.33122575,1.081423528,0.042184347,Intron ,LOC107984197,uncharacterized LOC107984197,Open
chr15,75121536,75121666,131,4.810505749,2.945836406,1.141504442,0.042184347,Intron ,LOC124900369,small Cajal body-specific RNA 20,Open
chr7,6461762,6470406,8645,4.685310808,2.881075736,1.129411688,0.042184347,Intron ,KDELR2,KDEL endoplasmic reticulum protein retention receptor 2,Open
chr8,95115642,95156544,40903,5.075671075,3.284784113,1.128339192,0.042184347,Intron ,PLEKHF2,pleckstrin homology and FYVE domain containing 2,Open
chr1,156476929,156479780,2852,5.978926009,3.883705174,1.169568737,0.042184347,Intron ,MEF2D,myocyte enhancer factor 2D,Open
chr2,65313505,65377750,64246,5.232813871,3.454296909,1.125819244,0.042184347,Promoter ,SPRED2,sprouty related EVH1 domain containing 2,Open
chr8,89780088,89780778,691,4.494021459,2.891440484,1.081028528,0.042184347,Intron ,RIPK2,receptor interacting serine/threonine kinase 2,Open
chr6,21136265,21140935,4671,4.663487072,3.003361228,1.100324827,0.042184347,Intron ,LOC105374966,uncharacterized LOC105374966,Open
chr3,172633873,172711052,77180,5.649992108,3.870313783,1.1267353,0.042184347,Intron ,NCEH1,neutral cholesterol ester hydrolase 1,Open
chr3,172590713,172594670,3958,5.320720907,3.465857632,1.139570544,0.042184347,Intron ,LINC02068,long intergenic non-protein coding RNA 2068,Open
chr1,234646289,234660924,14636,4.863624042,2.960678788,1.145228576,0.042184347,Intron ,LOC101927787,uncharacterized LOC101927787,Open
chr5,172777766,172788112,10347,4.241630132,2.620097813,1.091083139,0.042184347,Intron ,LOC105377730,uncharacterized LOC105377730,Open
chr8,101368910,101369550,641,5.50665472,3.398923107,1.167705482,0.042184347,Intron ,NACA4P,NACA family member 4 pseudogene,Open
chr15,92619302,92809798,190497,6.316462892,4.149596254,1.171808067,0.042184347,Intron ,FAM174B,family with sequence similarity 174 member B,Open
chr10,73575810,73591540,15731,4.127679475,2.55471757,1.082842905,0.042184347,Promoter ,USP54,ubiquitin specific peptidase 54,Open
chr15,90593713,90625940,32228,5.285801935,3.553641936,1.117468098,0.042184347,Promoter ,CRTC3,CREB regulated transcription coactivator 3,Open
chr8,119746866,119767128,20263,5.016340223,3.335630169,1.103212692,0.042184347,Promoter ,TAF2,TATA-box binding protein associated factor 2,Open
chr3,185328895,185482811,153917,4.865498748,3.1381675,1.114935442,0.042184347,Intron ,MAP3K13,mitogen-activated protein kinase kinase kinase 13,Open
chr17,50426252,50474831,48580,4.320898999,2.964623958,1.002518133,0.042184347,Intron ,ACSF2,acyl-CoA synthetase family member 2,Open
chr11,47980727,48123700,142974,5.312006994,3.522392631,1.12764233,0.042184347,Intron ,PTPRJ,protein tyrosine phosphatase receptor type J,Open
chr14,68979682,68987463,7782,4.809388942,3.164389592,1.092987152,0.042184347,Distal Intergenic,ACTN1-DT,ACTN1 divergent transcript,Open
chr1,210678418,210683929,5512,4.974924546,3.12425372,1.133895256,0.042184347,Intron ,KCNH1,potassium voltage-gated channel subfamily H member 1,Open
chr17,38339335,38343847,4513,6.030745191,3.373888421,1.171139641,0.042184347,Exon ,GPR179,G protein-coupled receptor 179,Open
chr11,34044617,34050321,5705,3.879004055,2.421893293,1.036947355,0.042184347,Exon ,LOC101929918,uncharacterized LOC101929918,Open
chr1,245858562,246193727,335166,4.698248201,3.024718948,1.100184366,0.042184347,Exon ,SMYD3,SET and MYND domain containing 3,Open
chr11,17260340,17349980,89641,5.054490476,3.331944524,1.111829432,0.042184347,Intron ,NUCB2,nucleobindin 2,Open
chr8,143845323,143879243,33921,5.585961026,3.620489376,1.150588418,0.042184347,Distal Intergenic,EPPK1,epiplakin 1,Open
chr8,57492914,57592596,99683,4.512913066,2.871707305,1.090463319,0.042184347,Intron ,LOC105375855,uncharacterized LOC105375855,Open
chr18,12449506,12636340,186835,4.219372226,2.614912082,1.077781998,0.042184347,Intron ,SPIRE1,spire type actin nucleation factor 1,Open
chr8,101460005,101493338,33334,4.454265981,2.737995241,1.10322568,0.042184347,Intron ,GRHL2-DT,GRHL2 divergent transcript,Open
chr8,78516355,78603185,86831,4.506109551,2.80032986,1.103487046,0.042184347,Intron ,PKIA,cAMP-dependent protein kinase inhibitor alpha,Open
chr8,62579539,62636595,57057,5.114417214,3.301094122,1.125398324,0.042184347,Intron ,NKAIN3,sodium/potassium transporting ATPase interacting 3,Open
chr5,43161831,43175835,14005,4.468894131,2.734829014,1.110582506,0.042184347,Intron ,ZNF131,zinc finger protein 131,Open
chr17,29568517,29572307,3791,6.433440042,4.114919731,1.172195794,0.042184347,Promoter ,TP53I13,tumor protein p53 inducible protein 13,Open
chr1,202496819,202564479,67661,4.046474797,2.379527658,1.090868282,0.042184347,Intron ,PPP1R12B,protein phosphatase 1 regulatory subunit 12B,Open
chr17,27560317,27579878,19562,5.087188932,3.160410877,1.142938233,0.042184347,Intron ,KSR1,kinase suppressor of ras 1,Open
chr14,61525652,61547886,22235,5.489848675,3.687113701,1.12378943,0.042184347,Promoter ,PRKCH,protein kinase C eta,Open
chr21,36320189,36339527,19339,5.641260022,3.846626252,1.124561835,0.042184347,Distal Intergenic,MORC3,MORC family CW-type zinc finger 3,Open
chr3,100075571,100114264,38694,4.590592534,3.077015842,1.056281813,0.042184347,Intron ,FILIP1L,filamin A interacting protein 1 like,Open
chr1,205302063,205321745,19683,4.904556392,3.267677113,1.090568626,0.042184347,Promoter ,NUAK2,NUAK family kinase 2,Open
chr1,232261097,232270173,9077,4.216375758,2.5804805,1.09034256,0.042184347,Intron ,LOC124904550,uncharacterized LOC124904550,Open
chr12,110036215,110038006,1792,4.71306765,2.658595002,1.155461958,0.042184347,Promoter ,ANKRD13A,ankyrin repeat domain 13A,Open
chr1,33014483,33021703,7221,4.514847572,2.993760586,1.058189688,0.042184347,3' UTR,AK2,adenylate kinase 2,Open
chr6,21758478,22194224,435747,4.926044846,3.108650297,1.124698745,0.042184347,Intron ,CASC15,cancer susceptibility 15,Open
chr4,124667359,124712732,45374,4.102832003,2.628530934,1.038389322,0.042184347,Distal Intergenic,ANKRD50,ankyrin repeat domain containing 50,Open
chr6,45573346,45576770,3425,4.331128792,2.841610733,1.043453086,0.042184347,Intron ,RUNX2-AS1,RUNX2 antisense RNA 1,Open
chr17,75476498,75499744,23247,4.540213209,3.090364489,1.031842136,0.042184347,Intron ,TMEM94,transmembrane protein 94,Open
chr15,58597202,58679282,82081,3.511962599,1.951591975,1.063827425,0.042184347,Intron ,ADAM10,ADAM metallopeptidase domain 10,Open
chr15,40091787,40106086,14300,5.455230818,3.824115977,1.088750497,0.042184347,Intron ,BMF,Bcl2 modifying factor,Open
chr6,33728270,33746848,18579,4.796921756,3.126278468,1.094263835,0.042184347,Intron ,IP6K3,inositol hexakisphosphate kinase 3,Open
chr7,2702530,2765125,62596,4.753345564,3.168072572,1.073659764,0.042184347,Intron ,AMZ1,archaelysin family metallopeptidase 1,Open
chr1,246945547,247008056,62510,5.996486265,4.12728665,1.132322856,0.042184347,Promoter ,ZNF695,zinc finger protein 695,Open
chr17,50460663,50461411,749,4.953597623,3.118970826,1.124805026,0.042184347,Intron ,ACSF2,acyl-CoA synthetase family member 2,Open
chr17,62808500,62836371,27872,4.800190172,2.975249337,1.123219294,0.042184347,Intron ,MARCHF10-DT,MARCHF10 divergent transcript,Open
chr2,203706639,203738912,32274,4.738914348,3.100195866,1.084381215,0.042184347,Distal Intergenic,CD28,CD28 molecule,Open
chr4,165499917,165507504,7588,4.290505362,2.453182543,1.121804274,0.042184347,Intron ,LOC105377520,uncharacterized LOC105377520,Open
chr14,65202001,65222600,20600,4.793138145,2.991600175,1.118561058,0.042184347,Distal Intergenic,LINC02324,long intergenic non-protein coding RNA 2324,Open
chr3,59548269,59658464,110196,4.627137761,2.981235865,1.08353328,0.042184347,Intron ,LOC339902,hCG1813818,Open
chr1,218698979,218715769,16791,4.559772387,2.866419187,1.094599009,0.042184347,Intron ,LOC105372924,uncharacterized LOC105372924,Open
chr12,632448,641142,8695,4.982851722,3.14613493,1.124287634,0.042184347,Promoter ,NINJ2-AS1,NINJ2 antisense RNA 1,Open
chr19,48591101,48599274,8174,4.863489502,3.333665211,1.061260124,0.042184347,Intron ,SULT2B1,sulfotransferase family 2B member 1,Open
chr8,130082738,130084768,2031,4.991645726,3.168463635,1.122477429,0.042184347,Intron ,ASAP1-IT2,ASAP1 intronic transcript 2,Open
chr10,14908188,14923675,15488,4.572197252,2.906149507,1.091312637,0.042184347,Promoter ,DCLRE1C,DNA cross-link repair 1C,Open
chr19,38304164,38305006,843,5.634505305,3.572200031,1.151806065,0.042184347,Intron ,C19orf33,chromosome 19 open reading frame 33,Open
chr8,141254565,141256817,2253,4.752075331,3.049608718,1.096719315,0.042184347,Intron ,SLC45A4-AS1,SLC45A4 antisense RNA 1,Open
chr1,44048174,44076583,28410,3.988894715,2.419589626,1.069097364,0.042184347,Promoter ,KLF17,KLF transcription factor 17,Open
chr2,61206788,61214663,7876,3.997620631,2.428541375,1.061159776,0.042184347,Intron ,USP34,ubiquitin specific peptidase 34,Open
chr8,143061895,143063490,1596,4.066974437,1.832115282,1.160699236,0.042184347,Intron ,LY6S,lymphocyte antigen 6 family member S,Open
chr12,14394863,14424092,29230,4.226191951,2.639790973,1.074085399,0.042184347,Promoter ,ATF7IP,activating transcription factor 7 interacting protein,Open
chr2,27282462,27307439,24978,4.549200123,2.372232688,1.158417068,0.042184347,Intron ,TRIM54,tripartite motif containing 54,Open
chr19,38535507,38537293,1787,4.880021103,3.078073929,1.116396019,0.042184347,Intron ,LOC124904710,uncharacterized LOC124904710,Open
chr18,58528752,58537119,8368,4.185690569,2.733999491,1.031375859,0.042184347,Intron ,ALPK2,alpha kinase 2,Open
chr1,234978814,234980804,1991,5.436794893,3.697342613,1.108314683,0.042184347,Distal Intergenic,LINC03108,long intergenic non-protein coding RNA 3108,Open
chr1,235909421,235956401,46981,4.745946215,3.019652964,1.102441909,0.042475456,Intron ,LOC105373215,uncharacterized LOC105373215,Open
chr1,151303354,151306433,3080,5.269539863,3.499713113,1.111294254,0.042475456,Intron ,PI4KB,phosphatidylinositol 4-kinase beta,Open
chr1,168695468,168729206,33739,4.033762212,2.179096529,1.123667967,0.042771232,Intron ,DPT,dermatopontin,Open
chr21,42120519,42126396,5878,4.552618465,2.943870414,1.07425826,0.042872603,Promoter ,UMODL1,uromodulin like 1,Open
chr7,27361577,27409137,47561,4.923307489,3.372551676,1.062404453,0.042872603,Distal Intergenic,LOC105375207,uncharacterized LOC105375207,Open
chr8,123984138,124040782,56645,4.472799349,2.989855716,1.044415084,0.042872603,Intron ,FER1L6-AS1,FER1L6 antisense RNA 1,Open
chr1,200480122,200483579,3458,5.425065634,3.526457511,1.129899801,0.042872603,Exon ,LOC124900414,uncharacterized LOC124900414,Open
chr21,38912738,38966406,53669,4.408545589,2.906607691,1.043498051,0.042872603,Promoter ,ETS2-AS1,ETS2 antisense RNA 1,Open
chr14,102986298,103004023,17726,4.180217821,2.574732943,1.068607898,0.042872603,Intron ,CDC42BPB,CDC42 binding protein kinase beta,Open
chr1,221811869,221840705,28837,5.246093145,3.502531221,1.105598586,0.042872603,Promoter ,LINC01655,long intergenic non-protein coding RNA 1655,Open
chr1,159826811,159835679,8869,5.145368329,3.219917689,1.132792626,0.042872603,Distal Intergenic,SLAMF8,SLAM family member 8,Open
chr8,125433546,125437191,3646,5.591311795,3.977638054,1.076458533,0.042872603,Promoter ,TRIB1,tribbles pseudokinase 1,Open
chr1,161364733,161367876,3144,5.025970485,3.203201511,1.11710561,0.042872603,Distal Intergenic,CFAP126,cilia and flagella associated protein 126,Open
chr21,43719094,43738861,19768,4.983589471,3.27252676,1.096980941,0.042872603,Distal Intergenic,PDXK,pyridoxal kinase,Open
chr1,146017468,146021734,4267,4.000962922,2.534951637,1.034926177,0.042872603,Distal Intergenic,HJV,hemojuvelin BMP co-receptor,Open
chr15,70503907,70505928,2022,4.74860126,3.114170641,1.081062771,0.042872603,Promoter ,LINC02205,long intergenic non-protein coding RNA 2205,Open
chr8,141207174,141308288,101115,5.190390225,3.346648479,1.121589376,0.042872603,Promoter ,SLC45A4,solute carrier family 45 member 4,Open
chr11,46256280,46276083,19804,4.54982546,2.81579879,1.101773485,0.042872603,Promoter ,LINC02489,long intergenic non-protein coding RNA 2489,Open
chr20,10598675,10636829,38155,4.710968478,3.054692611,1.081412023,0.042989525,Promoter ,SLX4IP,SLX4 interacting protein,Open
chr2,53604647,53606459,1813,4.196840059,2.622858013,1.060461022,0.042989525,Intron ,LOC105374600,uncharacterized LOC105374600,Open
chr17,48486932,48493227,6296,5.264364319,3.331228829,1.131280689,0.043044887,Distal Intergenic,LOC124904019,uncharacterized LOC124904019,Open
chr17,39743272,39744428,1157,7.327506551,4.950465951,1.155175057,0.043044887,Distal Intergenic,GRB7,growth factor receptor bound protein 7,Open
chr3,99847923,99876203,28281,3.910356563,2.038207439,1.119730259,0.043044887,Intron ,FILIP1L,filamin A interacting protein 1 like,Open
chr8,115939658,115986708,47051,4.139667383,2.818743496,0.977967432,0.043044887,Exon ,LOC107986903,uncharacterized LOC107986903,Open
chr8,95786437,95810132,23696,4.516119197,2.772470412,1.097186325,0.043044887,Exon ,CFAP418-AS1,CFAP418 antisense RNA 1,Open
chr17,55401469,55421924,20456,5.160371406,3.252703144,1.1262283,0.043044887,Distal Intergenic,MMD,monocyte to macrophage differentiation associated,Open
chr17,29246859,29254494,7636,5.301759396,3.065020351,1.151359156,0.043044887,Distal Intergenic,CRYBA1,crystallin beta A1,Open
chr15,89185415,89193453,8039,4.368891491,2.811343412,1.057863776,0.043044887,Intron ,ABHD2,abhydrolase domain containing 2 acylglycerol lipase,Open
chr14,68125004,68130196,5193,4.527076272,2.947662101,1.06404626,0.043044887,Intron ,LOC105370546,uncharacterized LOC105370546,Open
chr8,123613874,123667251,53378,4.447120039,3.026865161,1.009024417,0.043044887,Distal Intergenic,LOC105375738,uncharacterized LOC105375738,Open
chr9,86026146,86099558,73413,4.848237085,3.132321207,1.093393246,0.043044887,Intron ,GOLM1,golgi membrane protein 1,Open
chr3,188341663,188609279,267617,4.734681012,3.073479236,1.085050755,0.043044887,Intron ,LPP,LIM domain containing preferred translocation partner in lipoma,Open
chr8,93919879,93922500,2622,5.282317202,3.423843684,1.118225765,0.043044887,Exon ,PDP1,pyruvate dehydrogenase phosphatase catalytic subunit 1,Open
chr4,55359000,55369975,10976,5.018537008,3.18948714,1.112132303,0.043044887,Promoter ,SRD5A3,steroid 5 alpha-reductase 3,Open
chr15,22869466,22905440,35975,4.898578596,3.250341109,1.07779291,0.043044887,Intron ,CYFIP1,cytoplasmic FMR1 interacting protein 1,Open
chr2,63892150,64019428,127279,4.02935037,2.702974202,0.976773915,0.043044887,Distal Intergenic,VPS54,VPS54 subunit of GARP complex,Open
chr15,96209470,96255522,46053,4.458905238,2.844749443,1.066095397,0.043044887,Promoter ,LOC124903584,uncharacterized LOC124903584,Open
chr2,37827010,37828283,1274,4.377279221,2.469670548,1.123997479,0.043044887,Intron ,PIRAT1,PU.1  induced regulator of S100A8 and S100A9 alarmin transcription 1,Open
chr10,29555079,29634959,79881,4.609079425,2.957511901,1.078316716,0.043044887,Intron ,SVIL,supervillin,Open
chr18,12328967,12340716,11750,4.19945288,2.66136055,1.045454227,0.043044887,3' UTR,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,Open
chr10,6350316,6352762,2447,4.689501248,3.02460849,1.084730968,0.043044887,Promoter ,LINC02656,long intergenic non-protein coding RNA 2656,Open
chr20,35564185,35576117,11933,4.288970047,2.706106402,1.059902807,0.043044887,Promoter ,FER1L4,fer-1 like family member 4 ,Open
chr16,19114059,19173466,59408,5.012985052,3.144030552,1.11730583,0.043044887,Intron ,ITPRIPL2,ITPRIP like 2,Open
chr6,52361421,52403549,42129,5.187289286,3.457026403,1.097148514,0.043044887,Intron ,PAQR8,progestin and adipoQ receptor family member 8,Open
chr1,223701645,223747063,45419,4.850724219,3.11171968,1.096711889,0.043044887,Intron ,CAPN2,calpain 2,Open
chr1,161083814,161087579,3766,6.559034217,4.398800165,1.145516001,0.043044887,Promoter ,NECTIN4-AS1,NECTIN4 antisense RNA 1,Open
chr5,154287470,154376367,88898,5.182314669,3.373752397,1.109853267,0.043085797,Intron ,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,Open
chr2,122661678,122664258,2581,4.476765989,2.829209346,1.076137774,0.043114561,Intron ,LOC107985943,uncharacterized LOC107985943,Open
chr17,17992765,18016651,23887,4.108666041,2.708215478,1.007690414,0.043114561,Intron ,DRC3,dynein regulatory complex subunit 3,Open
chr8,124515924,124523479,7556,4.767419726,3.208930209,1.0563371,0.043114561,Intron ,TATDN1,TatD DNase domain containing 1,Open
chr21,34787801,35049344,261544,4.977498557,3.088591241,1.119125904,0.043114561,Intron ,RUNX1,RUNX family transcription factor 1,Open
chr3,169839172,169869935,30764,4.156079755,2.575290479,1.056668236,0.043114561,Promoter ,LRRC31,leucine rich repeat containing 31,Open
chr2,32628032,32640368,12337,4.580615196,2.959026253,1.068684578,0.043114561,3' UTR,TTC27,tetratricopeptide repeat domain 27,Open
chr1,244240588,244254558,13971,5.141996256,3.348663036,1.104170633,0.043400371,Distal Intergenic,LOC105373262,uncharacterized LOC105373262,Open
chr9,114587706,114598384,10679,5.23601182,3.594255573,1.073555855,0.04371043,Distal Intergenic,ATP6V1G1,ATPase H+ transporting V1 subunit G1,Open
chr10,33249414,33263704,14291,4.326661506,2.801482364,1.04037071,0.04371043,Intron ,NRP1,neuropilin 1,Open
chr17,67384982,67385750,769,5.507890146,3.506909303,1.130629936,0.04371043,Intron ,LOC124904047,uncharacterized LOC124904047,Open
